                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.7642,                 1.5374,                 1.3914,                 1.8219,                 1.8984,                 1.3176,                0.55781,                0.49217,                0.50189,                0.24472,                 1.9057,                 1.9062,                 1.5118,                 1.8575,                  2.302,                 1.4084,              0.0011319,              0.0011319,              0.0011319
                     24,                  1.779,                 1.5636,                 1.4046,                 1.8354,                 1.9383,                 1.3293,                 0.5032,                0.52582,                0.50343,                0.24085,                 1.8948,                 1.7454,                 1.4876,                 1.8271,                 1.9319,                 1.4044,              0.0011178,              0.0011178,              0.0011178
                     25,                  1.789,                 1.5473,                 1.4028,                 1.8561,                 1.9129,                 1.3295,                0.49431,                0.53914,                0.53169,                0.25772,                 1.7796,                 1.7104,                 1.4242,                 1.7252,                  1.945,                  1.378,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.7563,                 1.5179,                 1.3796,                 1.8116,                 1.9016,                 1.3095,                 0.6325,                0.58216,                  0.607,                0.27358,                 1.7886,                 1.6431,                 1.4305,                 1.8034,                 1.9341,                 1.3843,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.7405,                 1.5114,                  1.384,                 1.8069,                 1.8529,                 1.3103,                0.54278,                0.42508,                0.48263,                0.22013,                 1.9446,                 2.1512,                 1.5262,                 1.9013,                 2.5557,                 1.4358,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.7616,                 1.4989,                  1.387,                 1.8155,                 1.8506,                  1.311,                0.50714,                0.55617,                0.51087,                0.22938,                 1.8438,                 1.8133,                 1.4465,                 1.8187,                 2.2142,                 1.4175,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.7267,                  1.484,                 1.3727,                 1.7951,                 1.8342,                 1.3042,                0.54107,                0.49119,                0.48432,                0.20836,                 1.9705,                 1.7369,                 1.5351,                  1.884,                 2.1096,                 1.4301,               0.001047,               0.001047,               0.001047
                     30,                 1.7394,                 1.4817,                 1.3783,                    1.8,                 1.8377,                 1.3159,                0.56763,                0.59873,                0.57055,                0.28047,                 1.7909,                 1.5451,                 1.4419,                 1.7382,                 1.7594,                 1.4067,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.7392,                 1.4835,                 1.3884,                  1.798,                 1.8456,                 1.3257,                 0.5499,                0.53941,                0.55545,                0.23521,                 1.9467,                 1.6268,                 1.5032,                 1.9146,                 1.9314,                 1.4449,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.7346,                 1.4798,                 1.3723,                 1.8043,                 1.8149,                 1.3086,                 0.5824,                0.56423,                0.56331,                0.25321,                 1.9187,                 1.6167,                 1.5132,                 1.9088,                  1.856,                 1.4567,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.6958,                 1.4323,                  1.355,                 1.7879,                 1.7745,                 1.3038,                0.55537,                0.52992,                 0.5242,                0.25012,                 1.9214,                 2.0784,                   1.49,                 1.8804,                 2.4857,                 1.4285,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.7002,                 1.4234,                 1.3511,                 1.7709,                 1.7533,                 1.3003,                0.57701,                0.56109,                0.53575,                0.25238,                 1.8644,                 1.6312,                 1.5183,                 1.8226,                 1.8865,                 1.4465,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.7184,                 1.4193,                 1.3556,                 1.7978,                 1.7377,                 1.2989,                0.63006,                0.51348,                0.58164,                0.25117,                 1.9467,                 1.6135,                   1.53,                 1.9154,                 1.9382,                 1.4492,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.6961,                 1.4033,                 1.3539,                 1.7742,                 1.7294,                 1.3024,                0.60619,                0.58219,                0.59638,                0.27988,                 1.8977,                  1.468,                 1.4661,                 1.8697,                 1.6593,                 1.4309,               0.000948,               0.000948,               0.000948
                     37,                 1.6898,                 1.4022,                 1.3525,                 1.7666,                 1.7349,                 1.3053,                 0.5477,                0.56064,                0.56294,                0.24986,                 1.8681,                 1.6408,                 1.4705,                 1.8295,                 1.8921,                 1.4239,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.6942,                 1.3849,                 1.3558,                 1.7667,                 1.7033,                 1.3052,                0.61494,                0.57753,                0.62152,                0.29219,                 1.8408,                 1.6188,                 1.4604,                 1.8324,                  1.785,                 1.4195,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.6952,                  1.401,                 1.3444,                 1.7699,                 1.7205,                 1.2916,                0.58412,                0.59035,                0.57243,                0.26394,                 1.8685,                 1.7324,                 1.5148,                 1.8511,                 2.0732,                 1.4267,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.676,                 1.3773,                 1.3376,                 1.7579,                 1.7057,                 1.2879,                0.62645,                0.62307,                0.63276,                0.31027,                 1.7809,                 1.4667,                 1.4177,                  1.745,                 1.6488,                 1.3841,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.6777,                 1.3559,                 1.3386,                 1.7505,                 1.6814,                  1.285,                0.60083,                0.59571,                0.59847,                0.26603,                  1.872,                 1.6403,                 1.4804,                 1.8742,                 1.9088,                 1.4256,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.6807,                 1.3519,                 1.3294,                 1.7666,                 1.6652,                 1.2784,                0.62638,                0.63004,                0.63952,                0.28741,                 1.8344,                 1.5146,                 1.4488,                 1.8405,                 1.8031,                 1.4165,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.6696,                 1.3545,                 1.3296,                  1.763,                 1.6582,                 1.2816,                0.58144,                 0.5765,                0.59708,                0.29466,                 1.8128,                 1.4819,                 1.4614,                 1.7828,                 1.7458,                 1.3908,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.6526,                 1.3388,                 1.3215,                 1.7457,                  1.655,                 1.2806,                0.65488,                 0.5892,                0.64505,                0.30851,                  1.797,                 1.4141,                 1.4284,                 1.8044,                 1.5775,                 1.3932,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.6507,                 1.3254,                 1.3255,                 1.7365,                 1.6292,                 1.2796,                0.57765,                0.58892,                0.62327,                0.30395,                 1.8341,                 1.4471,                 1.4714,                 1.7875,                 1.6544,                  1.431,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.6707,                  1.332,                 1.3392,                 1.7502,                 1.6386,                 1.2895,                0.53655,                0.62179,                0.59141,                0.27978,                 1.8507,                 1.5356,                 1.4759,                 1.8923,                 1.7232,                 1.4658,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.6447,                 1.2973,                 1.3159,                 1.7268,                 1.6048,                 1.2718,                0.64946,                0.59583,                  0.621,                0.30381,                 1.8877,                 1.5219,                 1.4734,                 1.9148,                  1.693,                 1.4688,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.6546,                 1.3186,                 1.3182,                 1.7419,                 1.5978,                 1.2704,                0.59909,                 0.5797,                0.61226,                0.29613,                 1.8856,                 1.6906,                 1.4498,                 1.9121,                  2.013,                 1.4345,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.6302,                 1.2954,                 1.2966,                 1.7276,                 1.5891,                 1.2561,                0.64902,                0.61956,                0.62111,                0.28532,                 1.9383,                 1.5913,                 1.4711,                 1.9602,                 1.8729,                 1.4368,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.6459,                 1.2967,                 1.3074,                 1.7361,                 1.5808,                 1.2638,                0.65235,                0.60662,                 0.6654,                 0.3077,                 1.8496,                 1.3921,                 1.4435,                 1.8529,                 1.5386,                 1.4183,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.6571,                 1.3082,                 1.3088,                 1.7487,                 1.5985,                  1.268,                0.59399,                0.62417,                0.62266,                0.29345,                 1.9101,                  1.455,                 1.4797,                 1.9103,                 1.6112,                 1.4361,             0.00073579,             0.00073579,             0.00073579
                     52,                  1.612,                 1.2692,                 1.2977,                 1.7078,                 1.5562,                 1.2593,                0.54263,                0.57925,                0.60974,                0.28282,                 1.9706,                 1.5114,                 1.5278,                 1.9252,                 1.6842,                 1.4453,             0.00072164,             0.00072164,             0.00072164
                     53,                  1.614,                 1.2569,                 1.2985,                 1.7143,                 1.5519,                 1.2648,                0.64918,                0.64365,                0.66049,                0.29182,                 1.8478,                 1.4876,                 1.4559,                 1.8771,                 1.6832,                 1.4301,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.6205,                 1.2707,                 1.2954,                 1.7206,                 1.5518,                 1.2607,                0.59673,                0.59224,                0.61211,                0.26809,                 1.8682,                 1.5129,                 1.4795,                 1.8575,                 1.6972,                 1.4256,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.6057,                 1.2404,                 1.2853,                 1.7077,                 1.5303,                 1.2508,                0.58585,                0.61177,                0.62273,                 0.2891,                 1.8332,                  1.495,                 1.4132,                 1.8112,                 1.7314,                 1.3845,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.5972,                 1.2212,                 1.2893,                  1.701,                 1.4883,                 1.2545,                0.69227,                 0.6246,                0.66906,                0.29431,                 1.8875,                 1.4888,                 1.4717,                  1.924,                 1.6891,                 1.4601,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.6257,                 1.2482,                 1.2994,                 1.7188,                 1.5231,                 1.2629,                 0.7534,                0.57184,                 0.6795,                0.31433,                 1.8645,                 1.4373,                 1.4793,                 1.8444,                 1.6169,                 1.4261,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.6012,                 1.2345,                 1.2884,                 1.7043,                 1.4998,                 1.2494,                0.68203,                0.64804,                0.67142,                0.30933,                 1.8222,                 1.4217,                 1.4173,                 1.8051,                  1.555,                 1.3893,             0.00063676,             0.00063676,             0.00063676
